stat,trip_id,wh.km-1,speed,power,current,current_phase,temperature,motor_temperature,battery_temperature,safety_margin
min,0,-183.86075949367088,3.16,-3268.0,-26.23,-105.6,24.0,,,48.0
max,0,356.5853658536586,59.5,7026.0,54.2,94.3,31.0,,,97.0
mean,0,27.14233507335708,39.243020709354916,1092.9772673173054,8.578575339204951,13.7454980956915,27.405379671506783,,,66.12657700547489
std_dev,0,35.68836083988146,12.264033400371186,1243.8672438195902,9.733056567707221,21.523320973304,1.0513946912289307,,,10.528937435475925
min,1,-140.63957361758827,3.02,-3314.0,-29.17,-127.0,28.0,,,39.0
max,1,394.10377358490564,61.05,6547.0,57.56,128.39,35.0,,,97.0
mean,1,26.66391153948796,37.18843421426541,1023.8234725774367,8.69204319408923,14.863893151463484,30.909178743961352,,,65.4308610400682
std_dev,1,32.3028196387599,12.289598130070189,1127.4506176717885,9.684291259884397,20.494744016777542,1.1962881575795672,,,12.222736391484391
min,2,-150.60449050086356,3.02,-2585.0,-22.04,-92.8,27.0,,,41.0
max,2,464.15584415584414,59.5,7401.0,64.75,136.5,36.0,,,97.0
mean,2,25.331665334691007,35.09656150074611,928.3000426348326,7.851527392879983,13.52980761031763,31.406150074610956,,,67.5342677467491
std_dev,2,34.03678107702316,12.802345230951328,1120.0347058934365,9.563705601998917,21.11913587513026,1.3117593482088787,,,12.588927857931628
min,3,-186.09271523178808,3.02,-3355.0,-26.96,-139.09,26.0,,,46.0
max,3,601.7543859649122,59.47,7543.0,59.02,112.39,34.0,,,97.0
mean,3,31.77449884153133,35.69983377221857,1184.163759052008,9.350776278253237,15.974947333772217,29.334211103796356,,,69.09770682466535
std_dev,3,41.616413610748275,12.095804978342038,1357.2268271144524,10.76422107710078,24.095114672838612,1.3994329467036917,,,10.952264749888858
